numeric_id,unique_id,original_id,display_name,type,category,disposition,target,authority,note,final_fcc13e_status,final_action
1,VXL_BLK_Terrain_GrassBlock,terrain.grass.basic,Grass Block,block,Terrain / Soil,CONTEXTUAL TERRAIN REBIND,actual soil + vegetated surface/terrain state,FCC-12,POC generic terrain noun must resolve through current soil/material architecture.,CANONICAL REBIND / GENERATED FORM / STATE,actual soil + vegetated surface/terrain state. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
2,VXL_BLK_Terrain_DirtBlock,terrain.dirt.basic,Dirt Block,block,Terrain / Soil,CONTEXTUAL TERRAIN REBIND,actual canonical soil/profile + terrain form,FCC-12,POC generic terrain noun must resolve through current soil/material architecture.,CANONICAL REBIND / GENERATED FORM / STATE,actual canonical soil/profile + terrain form. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
3,VXL_BLK_Terrain_StoneBlock,terrain.stone.basic,Stone Block,block,Terrain / Stone,GENERIC CLASS / CONTEXTUAL,actual stone material + block/natural form,LOCKED FCC-12,"Stone is a superclass, not a single universal exact material.",CANONICAL REBIND / GENERATED FORM / STATE,actual stone material + block/natural form. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
4,VXL_BLK_Terrain_SandBlock,terrain.sand.basic,Sand Block,block,Terrain / Loose,CLASS / WORLD PROJECTION,composition-bearing Sand class + placed/world form,LOCKED FCC-12,"Sand is a physical/composition class, not one universal exact material.",CANONICAL REBIND / GENERATED FORM / STATE,composition-bearing Sand class + placed/world form. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
5,VXL_BLK_Terrain_GravelBlock,terrain.gravel.basic,Gravel Block,block,Terrain / Loose,CLASS / WORLD PROJECTION,composition-bearing Gravel class + placed/world form,LOCKED FCC-12,Gravel is a physical/composition class.,CANONICAL REBIND / GENERATED FORM / STATE,composition-bearing Gravel class + placed/world form. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
6,VXL_BLK_Terrain_ClayBlock,terrain.clay.basic,Clay Block,block,Terrain / Soil,CLASS / WORLD PROJECTION,specific clay material/profile + placed form,LOCKED FCC-12,Clay is a mineral/feedstock superclass; composition must be known.,CANONICAL REBIND / GENERATED FORM / STATE,specific clay material/profile + placed form. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
7,VXL_BLK_Fluid_WaterBlock,fluid.water.flowing,Water Block,block,Fluid,WORLD PROJECTION,ordinary Water + world-fluid representation,LOCKED FCC-12,"Water is one shared canonical material; Block is representation, not another Water identity.",CANONICAL REBIND / GENERATED FORM / STATE,ordinary Water + world-fluid representation. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
8,VXL_BLK_Terrain_MudBlock,terrain.mud.basic,Mud Block,block,Terrain / Soil,CONTEXTUAL TERRAIN REBIND,actual soil/sediment + wet/mud condition or mixture,FCC-12,POC generic terrain noun must resolve through current soil/material architecture.,CANONICAL REBIND / GENERATED FORM / STATE,actual soil/sediment + wet/mud condition or mixture. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
9,VXL_BLK_Natural_OakLog,natural.log.oak,Oak Log,block,Natural / Wood,MERGE / SINGLE-DEFINITION,Oak timber/log object,FCC-12 SINGLE-DEFINITION,Pairs with legacy Item 142. Final Block/inventory projections must not create duplicate underlying objects.,CANONICAL REBIND / GENERATED FORM / STATE,Oak timber/log object. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
10,VXL_BLK_Natural_OakLeaves,natural.leaves.oak,Oak Leaves,block,Natural / Foliage,LIVING/NATURAL OBJECT — DEFER EXACT,species/plant object and harvested products as later bound,POC + ECOLOGY SYSTEM,Do not infer a new material identity from the world object.,POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
