numeric_id,unique_id,original_id,display_name,type,category,disposition,target,authority,note
1,VXL_BLK_Terrain_GrassBlock,terrain.grass.basic,Grass Block,block,Terrain / Soil,CONTEXTUAL TERRAIN REBIND,actual soil + vegetated surface/terrain state,FCC-12,POC generic terrain noun must resolve through current soil/material architecture.
2,VXL_BLK_Terrain_DirtBlock,terrain.dirt.basic,Dirt Block,block,Terrain / Soil,CONTEXTUAL TERRAIN REBIND,actual canonical soil/profile + terrain form,FCC-12,POC generic terrain noun must resolve through current soil/material architecture.
3,VXL_BLK_Terrain_StoneBlock,terrain.stone.basic,Stone Block,block,Terrain / Stone,GENERIC CLASS / CONTEXTUAL,actual stone material + block/natural form,LOCKED FCC-12,"Stone is a superclass, not a single universal exact material."
4,VXL_BLK_Terrain_SandBlock,terrain.sand.basic,Sand Block,block,Terrain / Loose,CLASS / WORLD PROJECTION,composition-bearing Sand class + placed/world form,LOCKED FCC-12,"Sand is a physical/composition class, not one universal exact material."
5,VXL_BLK_Terrain_GravelBlock,terrain.gravel.basic,Gravel Block,block,Terrain / Loose,CLASS / WORLD PROJECTION,composition-bearing Gravel class + placed/world form,LOCKED FCC-12,Gravel is a physical/composition class.
6,VXL_BLK_Terrain_ClayBlock,terrain.clay.basic,Clay Block,block,Terrain / Soil,CLASS / WORLD PROJECTION,specific clay material/profile + placed form,LOCKED FCC-12,Clay is a mineral/feedstock superclass; composition must be known.
7,VXL_BLK_Fluid_WaterBlock,fluid.water.flowing,Water Block,block,Fluid,WORLD PROJECTION,ordinary Water + world-fluid representation,LOCKED FCC-12,"Water is one shared canonical material; Block is representation, not another Water identity."
8,VXL_BLK_Terrain_MudBlock,terrain.mud.basic,Mud Block,block,Terrain / Soil,CONTEXTUAL TERRAIN REBIND,actual soil/sediment + wet/mud condition or mixture,FCC-12,POC generic terrain noun must resolve through current soil/material architecture.
9,VXL_BLK_Natural_OakLog,natural.log.oak,Oak Log,block,Natural / Wood,MERGE / SINGLE-DEFINITION,Oak timber/log object,FCC-12 SINGLE-DEFINITION,Pairs with legacy Item 142. Final Block/inventory projections must not create duplicate underlying objects.
10,VXL_BLK_Natural_OakLeaves,natural.leaves.oak,Oak Leaves,block,Natural / Foliage,LIVING/NATURAL OBJECT — DEFER EXACT,species/plant object and harvested products as later bound,POC + ECOLOGY SYSTEM,Do not infer a new material identity from the world object.
11,VXL_BLK_Construction_OakPlanks,construction.planks.oak,Oak Planks,block,Construction / Wood,RELATIONSHIP CLUSTER / REBIND,Oak timber + plank form,FCC-12 + POC EVIDENCE,"Related to Item 167; likely one physical plank object with world/inventory projections, final binding in FCC-13B."
12,VXL_BLK_Natural_BranchStickBlock,natural.branch.stick,Branch / Stick Block,block,Natural / Harvestable,NATURAL OBJECT / FORM,wood/plant source + branch/stick form,FCC-12 PRINCIPLE + POC,Underlying botanical material should remain known.
13,VXL_BLK_Natural_TallGrass,natural.grass.tall,Tall Grass,block,Natural / Plant,LIVING/NATURAL OBJECT — DEFER EXACT,species/plant object and harvested products as later bound,POC + ECOLOGY SYSTEM,Do not infer a new material identity from the world object.
14,VXL_BLK_Natural_BushBlock,natural.bush.basic,Bush Block,block,Natural / Plant,LIVING/NATURAL OBJECT — DEFER EXACT,species/plant object and harvested products as later bound,POC + ECOLOGY SYSTEM,Do not infer a new material identity from the world object.
15,VXL_BLK_Natural_BasicCropBlock,farm.crop.basic,Basic Crop Block,block,Natural / Crop,LIVING/NATURAL OBJECT — DEFER EXACT,species/plant object and harvested products as later bound,POC + ECOLOGY SYSTEM,Do not infer a new material identity from the world object.
16,VXL_BLK_Natural_WildflowerBlock,natural.flower.basic,Wildflower Block,block,Natural / Plant,LIVING/NATURAL OBJECT — DEFER EXACT,species/plant object and harvested products as later bound,POC + ECOLOGY SYSTEM,Do not infer a new material identity from the world object.
17,VXL_BLK_Resource_CoalOre,ore.coal.basic,Coal Ore,block,Resource / Ore,SOURCE / WORLD DEPOSIT,Coal-bearing source/deposit,CURRENT CANON + FCC-12,World source representation of canonical Coal.
18,VXL_BLK_Resource_CopperOre,ore.copper.basic,Copper Ore,block,Resource / Ore,SOURCE / WORLD DEPOSIT,Copper-bearing ore/deposit,LOCKED FCC-12,Source/deposit relation rather than duplicate Copper material.
19,VXL_BLK_Resource_IronOre,ore.iron.basic,Iron Ore,block,Resource / Ore,SOURCE / WORLD DEPOSIT,Iron-bearing ore/deposit,LOCKED FCC-12,Source/deposit relation rather than duplicate Iron material.
20,VXL_BLK_Resource_ManaCrystalOre,ore.mana_crystal.basic,Mana Crystal Ore,block,Resource / Magical Ore,SOURCE RELATIONSHIP,Raw Mana Crystal source/deposit/block relationship,LOCKED FCC-12,Ore/source representation must not create a duplicate Mana Crystal material.
21,VXL_BLK_Resource_ClayDeposit,deposit.clay.pit,Clay Deposit,block,Resource / Deposit,SOURCE / WORLD DEPOSIT,specific clay deposit/feedstock,LOCKED FCC-12,Clay composition/profile must be preserved.
22,VXL_BLK_Resource_SurfaceStoneBoulder,resource.boulder.stone,Surface Stone Boulder,block,Resource / Surface Node,SOURCE / FORM,actual stone material + boulder form,LOCKED FCC-12,Generic 'stone' must resolve to real source stone.
23,VXL_MCH_Functional_Workbench,functional.workbench.basic,Workbench,block,Functional / Crafting,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Workbench,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
24,VXL_MCH_Functional_StoneFurnace,functional.furnace.stone,Stone Furnace,block,Functional / Smelting,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Stone Furnace,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
25,VXL_BLK_Magic_ManaFurnace,magic.furnace.mana,Mana Furnace,block,Magic / Processing,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Mana Furnace,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
26,VXL_BLK_Storage_WoodenChest,storage.chest.wood,Wooden Chest,block,Storage,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Wooden Chest,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
27,VXL_BLK_Village_VillageWarehouse,village.warehouse.basic,Village Warehouse,block,Village / Storage,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Village Warehouse,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
28,VXL_MCH_Automation_BasicManaMiner,automation.miner.basic_mana,Basic Mana Miner,block,Automation / Machine,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Basic Mana Miner,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
29,VXL_MCH_Automation_BasicItemChute,automation.transport.chute,Basic Item Chute,block,Automation / Logistics,SYSTEM CANDIDATE / REBIND,Basic Item Chute,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound."
30,VXL_BLK_Magic_RuneTable,magic.rune_table.basic,Rune Table,block,Magic / Crafting,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Rune Table,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
